Company,Country,Website,Industry,Employees,Evidence,Source,URL,Priority
Ensure IT,DK,ensureit.dk,,,"Case study: ENSURE IT | Dynamics NAV konsulenthus, konvertering &opgradering…",global_jobs,http://ensureit.dk/,HOT - Support Expired
Logosconsult,DK,logosconsult.dk,,,Case study: OpgraderingNavision- Læs omopgraderingtil nyt Dynamics ERP,global_jobs,https://logosconsult.dk/tips-til-erp-projektet/opgradering/,HOT - Support Expired
Logres Nl,NL,logres.nl,,,Case study: EndingNavision: The perfect time to switch to SAP Business One,global_jobs,https://www.logres.nl/en/knowledge-base/end-navision-the-perfect-time-to-switch-to-sap-business-one,HOT - Support Expired
Visionpeople Dk,DK,visionpeople.dk,,,Case study: Opgraderingtil ny version af NAV – Få alle fordelene,global_jobs,https://www.visionpeople.dk/indsigter/opgradering-til-ny-version-af-navision,HOT - Support Expired
OpgraderingafNavisionStat,DK,oes.dk,,,Case study: OpgraderingafNavisionStat - oes.dk,global_jobs,https://oes.dk/digitale-loesninger/udvikling-og-udbud/opgradering-af-navision-stat/,HOT - Support Expired
Hvad du skal vide omopgraderingaf Dynamics NAV til ...,DK,dk.linkedin.com,,,Case study: Hvad du skal vide omopgraderingaf Dynamics NAV til ... - LinkedIn,global_jobs,https://dk.linkedin.com/pulse/what-you-need-know-upgrading-dynamics-nav-365-xxe9f?tl=da,HOT - Support Expired
Visionpeople,DK,visionpeople.dk,,,Case study: Opgraderingtil ny version af NAV – Få alle fordelene,global_jobs,https://www.visionpeople.dk/indsigter/opgradering-til-ny-version-af-navision,HOT - Support Expired
Opgraderingaf Dynamics NAV,DK,visiondata.dk,,,Case study: Opgraderingaf Dynamics NAV - visiondata.dk,global_jobs,https://visiondata.dk/radgivning-i-dynamics-nav/opgradering-af-nav.html,HOT - Support Expired
